,FGM,FGA
2014Markieff Morris,13,14
2014Darius Morris,1,1
2014E'Twaun Moore,3,4
2014Greg Monroe,2,3
2014Nazr Mohammed,1,1
2014Paul Millsap,11,14
2014Patty Mills,4,9
2014Quincy Miller,4,5
2014Mike Miller,5,6
2014Darius Miller,0,0
2014Andre Miller,1,3
2014CJ Miles,9,14
2014Khris Middleton,10,19
2014Gal Mekel,0,1
2014Jodie Meeks,10,18
2014Josh McRoberts,7,7
2014Ben McLemore,10,12
2014JaVale McGee,5,5
2014CJ McCollum,0,1
2014Ray McCallum,1,1
2014Luc Mbah a Moute,0,0
2014Eric Maynor,0,0
2014Jason Maxiell,6,9
2014Wesley Matthews,4,5
2014Kevin Martin,8,10
2014Kenyon Martin,4,6
2014Cartier Martin,0,0
2014Kendall Marshall,6,11
2014Shawn Marion,8,13
2014Ian Mahinmi,1,1
2014Shelvin Mack,1,3
2014John Lucas III,0,0
2014Kyle Lowry,30,70
2014Kevin Love,5,7
2014Robin Lopez,6,6
2014Brook Lopez,5,6
2014Shaun Livingston,13,16
2014Jeremy Lin,5,10
2014Damian Lillard,3,3
2014Rashard Lewis,3,3
2014Jon Leuer,0,2
2014Meyers Leonard,5,5
2014Kawhi Leonard,4,5
2014Alex Len,0,0
2014David Lee,12,18
2014Courtney Lee,33,65
2014Ty Lawson,7,8
2014Shane Larkin,0,0
2014Carl Landry,0,0
2014Jeremy Lamb,16,31
2014Doron Lamb,7,8
2014Ognjen Kuzmic,0,4
2014Kosta Koufos,15,21
2014Kyle Korver,2,4
2014Brandon Knight,2,2
2014Andrei Kirilenko,3,3
2014Michael Kidd-Gilchrist,4,4
2014Ryan Kelly,6,11
2014Sergey Karasev,0,0
2014Chris Kaman,4,4
2014Cory Joseph,5,8
2014DeAndre Jordan,143,156
2014Perry Jones III,12,14
2014Terrence Jones,23,24
2014Solomon Jones,0,3
2014James Jones,0,0
2014Wesley Johnson,19,24
2014Orlando Johnson,0,0
2014Joe Johnson,33,54
2014James Johnson,5,6
2014Chris Johnson,0,0
2014Amir Johnson,5,6
2014Jonas Jerebko,7,12
2014Brandon Jennings,0,0
2014John Jenkins,4,6
2014Richard Jefferson,5,11
2014Al Jefferson,22,28
2014Othyus Jeffers,0,0
2014Antawn Jamison,0,0
2014Mike James,3,14
2014LeBron James,35,36
2014Damion James,0,0
2014Bernard James,6,11
2014Stephen Jackson,0,0
2014Reggie Jackson,43,70
2014Jarrett Jack,30,38
2014Kyrie Irving,13,24
2014Ersan Ilyasova,2,7
2014Andre Iguodala,9,9
2014Serge Ibaka,21,24
2014Kris Humphries,2,4
2014Robbie Hummel,0,0
2014Dwight Howard,84,86
2014Al Horford,19,19
2014Ryan Hollins,5,5
2014Jrue Holiday,1,2
2014Kirk Hinrich,9,21
2014Solomon Hill,1,1
2014Jordan Hill,11,11
2014George Hill,20,33
2014JJ Hickson,24,31
2014Roy Hibbert,1,1
2014John Henson,15,17
2014Xavier Henry,3,5
2014Gerald Henderson,7,7
2014Gordon Hayward,17,31
2014Chuck Hayes,0,0
2014Spencer Hawes,10,13
2014Udonis Haslem,2,3
2014Tobias Harris,30,48
2014Mike Harris,1,1
2014Manny Harris,0,0
2014Devin Harris,1,3
2014Al Harrington,0,0
2014Josh Harrellson,1,1
2014Maurice Harkless,4,4
2014James Harden,34,68
2014Tyler Hansbrough,1,1
2014Justin Hamilton,0,0
2014Jordan Hamilton,6,7
2014Jorge Gutierrez,0,0
2014Blake Griffin,43,55
2014Willie Green,1,1
2014Jeff Green,12,18
2014Gerald Green,12,16
2014Draymond Green,6,14
2014Danny Green,9,17
2014Aaron Gray,0,0
2014Danny Granger,5,5
2014Marcin Gortat,16,16
2014Eric Gordon,16,17
2014Ben Gordon,1,1
2014Archie Goodwin,1,1
2014Drew Gooden,4,4
2014Rudy Gobert,2,3
2014Manu Ginobili,6,11
2014Taj Gibson,10,10
2014Paul George,12,14
2014Alonzo Gee,5,5
2014Rudy Gay,64,97
2014Pau Gasol,9,11
2014Marc Gasol,6,7
2014Diante Garrett,3,8
2014Kevin Garnett,4,6
2014Francisco Garcia,0,0
2014Channing Frye,3,5
2014Joel Freeland,5,6
2014Enes Freedom,4,5
2014Jimmer Fredette,0,0
2014Jamaal Franklin,0,0
2014Randy Foye,3,8
2014Evan Fournier,4,10
2014Derek Fisher,0,4
2014Landry Fields,2,2
2014Raymond Felton,20,38
2014Derrick Favors,6,7
2014Vitor Faverani,1,4
2014Jordan Farmar,1,2
2014Kenneth Faried,47,56
2014Tyreke Evans,3,5
2014Reggie Evans,2,3
2014Jeremy Evans,20,22
2014Monta Ellis,57,110
2014Wayne Ellington,2,3
2014Kevin Durant,101,161
2014Mike Dunleavy,5,8
2014Tim Duncan,12,12
2014Jared Dudley,1,1
2014Andre Drummond,70,75
2014Goran Dragic,5,16
2014Chris Douglas-Roberts,4,4
2014Toney Douglas,0,0
2014Gorgui Dieng,7,7
2014Boris Diaw,3,4
2014Luol Deng,5,8
2014Matthew Dellavedova,0,0
2014Dewayne Dedmon,3,4
2014DeMar DeRozan,68,124
2014Nando De Colo,1,1
2014Austin Daye,0,1
2014Glen Davis,0,2
2014Ed Davis,8,13
2014Anthony Davis,66,71
2014Brandon Davies,2,2
2014Gigi Datome,2,3
2014Samuel Dalembert,18,20
2014Stephen Curry,158,262
2014Jared Cunningham,0,2
2014Dante Cunningham,8,8
2014Jae Crowder,0,0
2014Jordan Crawford,16,26
2014Jamal Crawford,11,18
2014Allen Crabbe,1,1
2014DeMarcus Cousins,14,15
2014Chris Copeland,3,4
2014Mike Conley,24,47
2014Nick Collison,0,2
2014Darren Collison,1,1
2014Jason Collins,0,0
2014Norris Cole,0,0
2014Victor Claver,0,0
2014Ian Clark,0,0
2014Earl Clark,2,2
2014Dionte Christmas,0,0
2014Wilson Chandler,13,14
2014Tyson Chandler,51,53
2014Mario Chalmers,3,3
2014Omri Casspi,8,11
2014Michael Carter-Williams,5,6
2014Vince Carter,13,25
2014DeMarre Carroll,5,8
2014Isaiah Canaan,1,3
2014Kentavious Caldwell-Pope,1,1
2014Jose Calderon,34,66
2014Nick Calathes,7,16
2014Will Bynum,0,1
2014Andrew Bynum,1,1
2014Dwight Buycks,2,2
2014Rasual Butler,0,0
2014Jimmy Butler,12,17
2014Caron Butler,1,2
2014Alec Burks,3,3
2014Trey Burke,18,37
2014Reggie Bullock,0,0
2014Chase Budinger,0,0
2014Kobe Bryant,4,7
2014Shannon Brown,0,0
2014Lorenzo Brown,2,4
2014MarShon Brooks,1,1
2014Aaron Brooks,15,30
2014Ronnie Brewer,0,0
2014Corey Brewer,3,5
2014Elton Brand,7,11
2014Avery Bradley,4,12
2014Chris Bosh,5,7
2014Carlos Boozer,17,22
2014Trevor Booker,9,9
2014Matt Bonner,0,1
2014Andrew Bogut,42,46
2014Eric Bledsoe,7,17
2014Andray Blatche,13,17
2014Steve Blake,0,1
2014DeJuan Blair,1,1
2014Bismack Biyombo,0,0
2014Chauncey Billups,0,0
2014Patrick Beverley,3,6
2014Anthony Bennett,2,2
2014Marco Belinelli,8,11
2014Michael Beasley,10,13
2014Bradley Beal,1,1
2014Kent Bazemore,2,3
2014Aron Baynes,11,16
2014Jerryd Bayless,13,26
2014Nicolas Batum,7,11
2014Shane Battier,0,0
2014Brandon Bass,8,9
2014Will Barton,9,9
2014Matt Barnes,1,1
2014Harrison Barnes,45,91
2014Andrea Bargnani,3,5
2014Leandro Barbosa,0,0
2014Luke Babbitt,0,0
2014Chris Babb,1,1
2014Jeff Ayres,3,4
2014Gustavo Ayon,1,3
2014Omer Asik,1,1
2014Darrell Arthur,0,0
2014Hilton Armstrong,0,0
2014Trevor Ariza,4,4
2014Pero Antic,1,1
2014Joel Anthony,0,0
2014Carmelo Anthony,16,20
2014Giannis Antetokounmpo,12,12
2014Ryan Anderson,2,4
2014James Anderson,12,16
2014Alan Anderson,0,0
2014Chris Andersen,35,36
2014Lou Amundson,1,5
2014Al-Farouq Aminu,20,22
2014Tony Allen,7,8
2014Ray Allen,0,0
2014Lavoy Allen,4,5
2014LaMarcus Aldridge,16,18
2014Cole Aldrich,8,18
2014Alexis Ajinca,6,8
2014Arron Afflalo,36,60
2014Jeff Adrien,5,5
2014Steven Adams,3,4
2014Quincy Acy,2,3
2015Tyler Zeller,2,2
2015Cody Zeller,0,1
2015Thaddeus Young,13,22
2015Nick Young,0,2
2015James Young,1,1
2015Tony Wroten,0,0
2015Dorell Wright,1,6
2015Brandan Wright,48,50
2015Nate Wolters,0,0
2015Jeff Withey,1,3
2015Shawne Williams,2,2
2015Reggie Williams,3,23
2015Mo Williams,7,15
2015Marvin Williams,4,8
2015Lou Williams,31,58
2015Derrick Williams,15,19
2015Deron Williams,1,2
2015Andrew Wiggins,16,25
2015Shayne Whittington,1,2
2015Hassan Whiteside,29,33
2015Russell Westbrook,10,20
2015David West,1,1
2015Martell Webster,1,2
2015Travis Wear,0,2
2015Gerald Wallace,1,1
2015John Wall,6,6
2015Kemba Walker,8,12
2015Henry Walker,0,0
2015Dion Waiters,3,4
2015Dwyane Wade,7,9
2015Nikola Vucevic,14,14
2015Noah Vonleh,4,7
2015Charlie Villanueva,2,2
2015Greivis Vasquez,28,49
2015Anderson Varejao,3,5
2015Jonas Valanciunas,11,11
2015Beno Udrih,1,1
2015Ekpe Udoh,0,0
2015Evan Turner,43,57
2015Hedo Turkoglu,1,1
2015Anthony Tolliver,1,1
2015Marcus Thornton,4,9
2015Tristan Thompson,55,61
2015Klay Thompson,15,28
2015Jason Thompson,10,11
2015Hollis Thompson,5,6
2015Malcolm Thomas,1,1
2015Lance Thomas,4,6
2015Isaiah Thomas,13,19
2015Jason Terry,2,4
2015Garrett Temple,1,1
2015Sebastian Telfair,0,0
2015Mirza Teletovic,1,2
2015Jeff Teague,32,64
2015Jeffery Taylor,0,0
2015Jared Sullinger,3,8
2015Rodney Stuckey,2,3
2015Amar'e Stoudemire,8,9
2015Jarnell Stokes,1,1
2015Greg Stiemsma,0,0
2015Lance Stephenson,5,6
2015Nik Stauskas,0,0
2015Tiago Splitter,3,5
2015Marreese Speights,4,5
2015Tony Snell,1,1
2015Josh Smith,20,25
2015Jason Smith,0,1
2015JR Smith,7,14
2015Ish Smith,0,1
2015Greg Smith,1,1
2015Marcus Smart,2,2
2015Donald Sloan,5,5
2015Kyle Singler,0,0
2015Henry Sims,3,4
2015Alexey Shved,0,2
2015Iman Shumpert,4,12
2015Ramon Sessions,6,10
2015Kevin Seraphin,5,6
2015Thabo Sefolosha,4,5
2015Mike Scott,8,15
2015Luis Scola,10,11
2015Dennis Schroder,13,28
2015Larry Sanders,1,2
2015JaKarr Sampson,7,8
2015John Salmons,1,1
2015Robert Sacre,0,0
2015Brandon Rush,1,1
2015Damjan Rudez,0,0
2015Ricky Rubio,0,0
2015Terrence Ross,10,12
2015Derrick Rose,2,6
2015Rajon Rondo,2,2
2015Glenn Robinson III,0,0
2015Thomas Robinson,17,17
2015Nate Robinson,1,2
2015Brian Roberts,4,13
2015Andre Roberson,10,11
2015Austin Rivers,7,17
2015Luke Ridnour,1,2
2015Jason Richardson,1,2
2015JJ Redick,10,20
2015Zach Randolph,12,19
2015Shavlik Randolph,0,2
2015Tayshaun Prince,1,2
2015Pablo Prigioni,2,2
2015Ronnie Price,0,1
2015AJ Price,0,0
2015Phil Pressey,0,0
2015Dwight Powell,2,2
2015Quincy Pondexter,2,2
2015Miles Plumlee,15,17
2015Mason Plumlee,33,38
2015Paul Pierce,4,4
2015Kendrick Perkins,7,15
2015Nikola Pekovic,0,0
2015Elfrid Payton,1,1
2015Adreian Payne,1,4
2015Chris Paul,0,0
2015Patrick Patterson,5,11
2015Chandler Parsons,1,2
2015Tony Parker,28,45
2015Jabari Parker,3,6
2015Jannero Pargo,0,0
2015Kostas Papanikolaou,0,0
2015Zaza Pachulia,0,0
2015Arinze Onuaku,2,3
2015Kelly Olynyk,12,15
2015Victor Oladipo,7,7
2015Kyle O'Quinn,10,12
2015Johnny O'Bryant III,2,4
2015Jusuf Nurkic,4,7
2015Dirk Nowitzki,4,9
2015Steve Novak,0,0
2015Nerlens Noel,38,39
2015Joakim Noah,0,0
2015Andrew Nicholson,0,0
2015Nene,8,9
2015Jameer Nelson,6,9
2015Gary Neal,0,0
2015Shabazz Napier,1,1
2015Mike Muscala,4,6
2015Shabazz Muhammad,5,8
2015Timofey Mozgov,43,46
2015Donatas Motiejunas,2,3
2015Anthony Morrow,12,23
2015Markieff Morris,16,19
2015Darius Morris,0,0
2015E'Twaun Moore,3,3
2015Greg Monroe,2,3
2015Nazr Mohammed,6,16
2015Nikola Mirotic,4,6
2015Paul Millsap,12,18
2015Elijah Millsap,2,3
2015Patty Mills,5,13
2015Quincy Miller,1,6
2015Mike Miller,0,0
2015Andre Miller,3,4
2015CJ Miles,3,6
2015Khris Middleton,0,0
2015Jodie Meeks,6,8
2015Josh McRoberts,1,1
2015Ben McLemore,22,24
2015JaVale McGee,8,9
2015Mitch McGary,1,3
2015Doug McDermott,0,0
2015KJ McDaniels,11,13
2015CJ McCollum,6,8
2015Ray McCallum,0,1
2015James Michael McAdoo,0,0
2015Luc Mbah a Moute,12,13
2015Jason Maxiell,2,2
2015Wesley Matthews,5,8
2015Kevin Martin,9,15
2015Kenyon Martin,3,9
2015Cartier Martin,0,0
2015Kendall Marshall,2,5
2015Shawn Marion,3,4
2015Devyn Marble,0,0
2015Ian Mahinmi,4,5
2015Shelvin Mack,11,16
2015John Lucas III,31,86
2015Kyle Lowry,47,108
2015Kevin Love,7,9
2015Robin Lopez,5,5
2015Brook Lopez,6,6
2015Shaun Livingston,5,8
2015Jeremy Lin,10,20
2015Damian Lillard,48,83
2015Jon Leuer,4,6
2015Meyers Leonard,6,9
2015Kawhi Leonard,54,81
2015Alex Len,7,7
2015David Lee,4,4
2015Courtney Lee,0,0
2015Ricky Ledo,1,1
2015Ty Lawson,12,29
2015Joffrey Lauvergne,4,5
2015Shane Larkin,12,29
2015Carl Landry,3,3
2015Jeremy Lamb,17,27
2015Zach LaVine,8,9
2015Ognjen Kuzmic,1,1
2015Kosta Koufos,11,11
2015Kyle Korver,0,0
2015Brandon Knight,5,13
2015Sean Kilpatrick,0,3
2015Michael Kidd-Gilchrist,3,5
2015Ryan Kelly,0,1
2015Sergey Karasev,2,5
2015Chris Kaman,13,15
2015Cory Joseph,22,27
2015Jerome Jordan,3,3
2015DeAndre Jordan,111,129
2015Perry Jones III,3,5
2015Terrence Jones,3,3
2015James Jones,0,0
2015Dahntay Jones,1,12
2015Wesley Johnson,20,27
2015Tyler Johnson,4,6
2015Nick Johnson,1,1
2015Joe Johnson,9,20
2015James Johnson,10,15
2015Chris Johnson,0,1
2015Amir Johnson,11,15
2015Grant Jerrett,0,0
2015Jonas Jerebko,2,4
2015Brandon Jennings,9,25
2015John Jenkins,0,0
2015Richard Jefferson,2,2
2015Cory Jefferson,10,12
2015Al Jefferson,12,13
2015LeBron James,17,20
2015Bernard James,1,1
2015Reggie Jackson,35,53
2015Jarrett Jack,53,88
2015Kyrie Irving,39,67
2015Joe Ingles,3,4
2015Ersan Ilyasova,4,5
2015Andre Iguodala,8,10
2015Serge Ibaka,12,16
2015Kris Humphries,6,6
2015Robbie Hummel,4,4
2015Dwight Howard,57,59
2015Al Horford,32,34
2015Rodney Hood,0,0
2015Ryan Hollins,4,8
2015Justin Holiday,4,6
2015Jrue Holiday,7,8
2015Kirk Hinrich,4,8
2015Solomon Hill,2,2
2015Jordan Hill,6,11
2015George Hill,13,18
2015JJ Hickson,19,30
2015Roy Hibbert,4,5
2015John Henson,15,15
2015Xavier Henry,2,7
2015Gerald Henderson,6,7
2015Brendan Haywood,3,11
2015Gordon Hayward,26,39
2015Chuck Hayes,0,3
2015Spencer Hawes,7,11
2015Udonis Haslem,4,5
2015Tobias Harris,3,4
2015Joe Harris,1,2
2015Gary Harris,0,0
2015Devin Harris,11,32
2015Maurice Harkless,6,7
2015James Harden,32,69
2015Tyler Hansbrough,2,3
2015Justin Hamilton,7,8
2015Jordan Hamilton,0,1
2015PJ Hairston,0,0
2015Jorge Gutierrez,8,18
2015Blake Griffin,13,18
2015Willie Green,0,0
2015Jeff Green,24,48
2015JaMychal Green,1,1
2015Gerald Green,9,13
2015Erick Green,0,0
2015Draymond Green,11,24
2015Danny Green,3,5
2015Jerami Grant,4,4
2015Danny Granger,0,0
2015Marcin Gortat,15,17
2015Eric Gordon,0,0
2015Drew Gordon,0,0
2015Ben Gordon,10,17
2015Aaron Gordon,6,6
2015Archie Goodwin,3,7
2015Drew Gooden,1,2
2015Rudy Gobert,36,37
2015Manu Ginobili,7,14
2015Taj Gibson,13,14
2015Alonzo Gee,5,5
2015Rudy Gay,14,14
2015Pau Gasol,10,14
2015Marc Gasol,5,5
2015Kevin Garnett,1,2
2015Francisco Garcia,0,0
2015Langston Galloway,9,21
2015Danilo Gallinari,1,3
2015Channing Frye,0,0
2015Joel Freeland,1,1
2015Enes Freedom,2,3
2015Jimmer Fredette,9,15
2015Tim Frazier,0,0
2015Randy Foye,1,3
2015Evan Fournier,1,1
2015Landry Fields,1,1
2015Raymond Felton,0,0
2015Derrick Favors,4,6
2015Jordan Farmar,0,0
2015Kenneth Faried,26,37
2015Festus Ezeli,9,11
2015Dante Exum,5,9
2015Tyreke Evans,2,2
2015Reggie Evans,0,0
2015Jeremy Evans,4,4
2015James Ennis III,4,5
2015Tyler Ennis,1,1
2015Monta Ellis,87,157
2015Wayne Ellington,2,2
2015Cleanthony Early,2,4
2015Kevin Durant,12,16
2015Mike Dunleavy,1,2
2015Tim Duncan,7,10
2015Jared Dudley,0,0
2015Andre Drummond,86,99
2015Larry Drew II,0,0
2015Zoran Dragic,0,0
2015Goran Dragic,9,11
2015Chris Douglas-Roberts,1,11
2015Toney Douglas,0,0
2015Joey Dorsey,5,6
2015Spencer Dinwiddie,3,6
2015Gorgui Dieng,5,6
2015Boris Diaw,4,7
2015Luol Deng,9,13
2015Matthew Dellavedova,0,0
2015Dewayne Dedmon,14,15
2015DeMar DeRozan,37,85
2015Austin Daye,0,0
2015Glen Davis,2,3
2015Ed Davis,16,17
2015Anthony Davis,66,74
2015Brandon Davies,3,3
2015Gigi Datome,3,8
2015Troy Daniels,0,0
2015Samuel Dalembert,6,6
2015Stephen Curry,24,47
2015Jared Cunningham,0,5
2015Dante Cunningham,5,9
2015Jae Crowder,8,11
2015Jamal Crawford,36,67
2015Allen Crabbe,1,2
2015Robert Covington,13,16
2015DeMarcus Cousins,9,12
2015Bryce Cotton,1,1
2015Chris Copeland,1,2
2015Jack Cooley,7,11
2015Mike Conley,0,2
2015Nick Collison,5,10
2015Darren Collison,3,3
2015Norris Cole,14,21
2015Victor Claver,8,14
2015Jordan Clarkson,33,41
2015Ian Clark,9,40
2015Earl Clark,0,0
2015Wilson Chandler,15,23
2015Tyson Chandler,95,102
2015Mario Chalmers,2,3
2015Omri Casspi,5,7
2015Michael Carter-Williams,26,39
2015Vince Carter,1,1
2015DeMarre Carroll,12,16
2015Clint Capela,4,6
2015Isaiah Canaan,0,0
2015Kentavious Caldwell-Pope,2,3
2015Jose Calderon,0,1
2015Nick Calathes,0,2
2015Bruno Caboclo,2,4
2015Will Bynum,0,0
2015Dwight Buycks,9,24
2015Rasual Butler,7,7
2015Jimmy Butler,22,32
2015Caron Butler,0,0
2015Alec Burks,5,12
2015Trey Burke,21,40
2015Reggie Bullock,1,2
2015Chase Budinger,5,6
2015Kobe Bryant,0,1
2015Shannon Brown,0,1
2015Markel Brown,9,11
2015Lorenzo Brown,0,0
2015Jabari Brown,0,1
2015Aaron Brooks,1,1
2015Corey Brewer,12,29
2015Elton Brand,1,1
2015Avery Bradley,39,62
2015Chris Bosh,2,2
2015Carlos Boozer,6,7
2015Trevor Booker,9,10
2015Matt Bonner,0,0
2015Andrew Bogut,43,57
2015Bojan Bogdanovic,0,3
2015Eric Bledsoe,8,17
2015Steve Blake,0,0
2015DeJuan Blair,1,2
2015Tarik Black,15,18
2015Bismack Biyombo,14,17
2015Patrick Beverley,14,20
2015Anthony Bennett,1,1
2015Marco Belinelli,6,8
2015Michael Beasley,2,2
2015Bradley Beal,4,4
2015Kent Bazemore,2,3
2015Aron Baynes,4,4
2015Jerryd Bayless,12,21
2015Nicolas Batum,4,6
2015Brandon Bass,10,12
2015Will Barton,13,22
2015Earl Barron,0,4
2015Matt Barnes,6,7
2015Harrison Barnes,13,16
2015Andrea Bargnani,3,4
2015Leandro Barbosa,24,44
2015Cameron Bairstow,0,1
2015Luke Babbitt,0,0
2015Jeff Ayres,1,2
2015Omer Asik,2,2
2015Darrell Arthur,4,4
2015Trevor Ariza,2,2
2015Pero Antic,1,1
2015Joel Anthony,5,5
2015Carmelo Anthony,7,7
2015Giannis Antetokounmpo,8,9
2015Ryan Anderson,0,0
2015Kyle Anderson,0,1
2015Alan Anderson,2,2
2015Chris Andersen,24,26
2015Lou Amundson,2,2
2015Al-Farouq Aminu,6,9
2015Tony Allen,3,5
2015Lavoy Allen,1,3
2015LaMarcus Aldridge,23,25
2015Cole Aldrich,2,2
2015Furkan Aldemir,2,3
2015Alexis Ajinca,3,4
2015Arron Afflalo,10,16
2015Steven Adams,7,13
2015Jordan Adams,0,0
2015Quincy Acy,1,1
2016Trevor Ariza,22,49
2016Joel Anthony,2,4
2016Carmelo Anthony,6,8
2016Giannis Antetokounmpo,58,165
2016Ryan Anderson,32,85
2016Kyle Anderson,5,6
2016Justin Anderson,4,4
2016James Anderson,0,1
2016Alan Anderson,0,1
2016Chris Andersen,1,1
2016Lou Amundson,1,1
2016Al-Farouq Aminu,147,425
2016Tony Allen,36,97
2016Lavoy Allen,25,40
2016LaMarcus Aldridge,20,22
2016Cole Aldrich,7,10
2016Alexis Ajinca,62,163
2016Arron Afflalo,1,2
2016Steven Adams,63,111
2016Quincy Acy,18,28
2016Mike Dunleavy,1,2
2016Tim Duncan,51,77
2016Jared Dudley,0,0
2016Andre Drummond,170,295
2016Goran Dragic,3,4
2016Toney Douglas,11,36
2016Gorgui Dieng,50,91
2016Boris Diaw,42,70
2016Luol Deng,8,8
2016Matthew Dellavedova,2,3
2016Bryce Dejean-Jones,0,0
2016Dewayne Dedmon,28,33
2016DeMar DeRozan,46,87
2016Ed Davis,48,92
2016Anthony Davis,82,97
2016Troy Daniels,0,0
2016Stephen Curry,39,92
2016Seth Curry,17,35
2016Jared Cunningham,1,1
2016Dante Cunningham,87,258
2016Jae Crowder,2,2
2016Jamal Crawford,2,18
2016Allen Crabbe,10,22
2016Robert Covington,1,1
2016DeMarcus Cousins,111,233
2016Bryce Cotton,0,0
2016Chris Copeland,0,0
2016Pat Connaughton,1,1
2016Mike Conley,1,2
2016Nick Collison,2,3
2016Darren Collison,32,82
2016Norris Cole,10,41
2016Jordan Clarkson,5,9
2016Ian Clark,10,15
2016Tyson Chandler,73,85
2016Mario Chalmers,14,38
2016Willie Cauley-Stein,33,42
2016Omri Casspi,31,65
2016Michael Carter-Williams,6,10
2016Vince Carter,18,24
2016DeMarre Carroll,1,2
2016Clint Capela,81,125
2016Isaiah Canaan,2,2
2016Kentavious Caldwell-Pope,12,14
2016Jose Calderon,0,0
2016Bruno Caboclo,0,0
2016Rasual Butler,4,5
2016Jimmy Butler,161,502
2016Caron Butler,0,1
2016Alec Burks,3,3
2016Trey Burke,48,74
2016Reggie Bullock,1,1
2016Chase Budinger,5,5
2016Kobe Bryant,1,2
2016Markel Brown,9,28
2016Lorenzo Brown,0,0
