NBA_ID,Season,Player,Deadeye,Limitless Range,Mini Marksman,Set Shot Specialist,Shifty Shooter,Aerial Wizard,Float Game,Hook Specialist,Layup Mixmaster,Paint Prodigy,Physical Finisher,Posterizer,Post Fade Phenom,Post Powerhouse,Post Up Poet,Rise Up,Ankle Assassin,Bail Out,Break Starter,Dimer,Handles for Days,Lightning Launch,Strong Handle,Unpluckable,Versatile Visionary,Challenger,Glove,High Flying Denier,Immovable Enforcer,Interceptor,Off Ball Pest,On-Ball Menace,Paint Patroller,Pick Dodger,Post Lockdown,Boxout Beast,Rebound Chaser,Brick Wall,Pogo Stick,Slippery Off Ball
1495,2013-14,Tim Duncan,0,0,0,0,0,1,0,1,0,0,0,0,1,0,3,2,0,0,1,0,0,0,0,2,0,0,0,0,0,0,3,0,3,0,0,0,4,0,1,0
1495,2014-15,Tim Duncan,0,0,0,0,0,1,0,1,0,0,0,1,1,0,3,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,3,0,2,0,0,0,4,0,1,0
1495,2015-16,Tim Duncan,0,0,0,0,0,1,1,3,1,2,2,0,1,2,2,0,0,0,2,2,0,0,1,1,0,0,0,0,0,0,0,0,2,0,3,0,2,0,0,0
1497,2013-14,Chauncey Billups,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1536,2013-14,Stephen Jackson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1712,2013-14,Antawn Jamison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1713,2013-14,Vince Carter,2,1,0,0,0,0,0,0,1,1,0,0,3,0,2,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1713,2014-15,Vince Carter,0,0,0,0,0,0,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1713,2015-16,Vince Carter,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1713,2016-17,Vince Carter,1,0,0,2,1,0,0,1,0,0,0,0,2,1,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
1713,2017-18,Vince Carter,1,0,0,1,0,0,0,0,0,0,1,0,3,1,1,0,0,0,0,1,0,0,2,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
1713,2018-19,Vince Carter,2,0,0,2,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1713,2019-20,Vince Carter,0,0,0,0,0,0,1,2,0,1,0,0,3,1,2,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1717,2013-14,Dirk Nowitzki,1,0,0,1,0,0,0,1,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
1717,2014-15,Dirk Nowitzki,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
1717,2015-16,Dirk Nowitzki,3,0,0,4,3,0,0,2,0,2,1,0,5,2,3,0,1,0,1,2,0,0,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1717,2016-17,Dirk Nowitzki,2,0,0,3,2,0,0,1,0,0,0,0,3,2,3,0,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0
1717,2017-18,Dirk Nowitzki,2,1,0,3,2,0,0,2,0,1,1,0,3,2,2,0,0,0,1,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,0
1717,2018-19,Dirk Nowitzki,0,0,0,2,0,0,0,0,0,1,0,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0
1718,2013-14,Paul Pierce,1,0,0,0,0,0,0,1,1,1,0,1,2,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,2,0,1,0
1718,2014-15,Paul Pierce,1,0,0,0,0,0,0,0,0,1,0,0,3,0,2,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1718,2015-16,Paul Pierce,1,0,0,1,0,0,0,1,0,0,0,0,2,1,1,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1718,2016-17,Paul Pierce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1733,2013-14,Al Harrington,1,0,0,0,0,0,0,0,0,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1737,2013-14,Nazr Mohammed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1737,2014-15,Nazr Mohammed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1737,2015-16,Nazr Mohammed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1740,2013-14,Rashard Lewis,1,0,0,0,0,0,0,1,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1882,2013-14,Elton Brand,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,2,0,1,0
1882,2014-15,Elton Brand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1882,2015-16,Elton Brand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1889,2013-14,Andre Miller,0,0,1,0,0,0,0,2,0,1,0,0,1,0,2,0,2,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1889,2014-15,Andre Miller,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,2,1,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1889,2015-16,Andre Miller,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1890,2013-14,Shawn Marion,0,0,0,0,0,2,2,2,0,2,0,1,1,0,1,2,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,2,0,1,0
1890,2014-15,Shawn Marion,0,0,0,0,0,0,0,2,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1891,2013-14,Jason Terry,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1891,2014-15,Jason Terry,2,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,2,1,0,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
1891,2015-16,Jason Terry,1,0,1,2,0,0,2,0,0,1,1,0,0,0,0,0,1,0,0,2,0,1,2,1,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0
1891,2016-17,Jason Terry,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1
1891,2017-18,Jason Terry,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0
1897,2013-14,Metta World Peace,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1897,2015-16,Metta World Peace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
1897,2016-17,Metta World Peace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1905,2013-14,Andrei Kirilenko,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
1905,2014-15,Andrei Kirilenko,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1938,2013-14,Manu Ginobili,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,3,0,1,2,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0
1938,2014-15,Manu Ginobili,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,2,0,1,2,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0
1938,2015-16,Manu Ginobili,1,0,0,2,1,0,1,2,1,1,1,0,0,1,1,0,1,0,2,2,1,0,2,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1
1938,2016-17,Manu Ginobili,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,2,0,0,2,1,0,0,2,0,0,3,2,0,0,0,0,0,0,0,0,1
1938,2017-18,Manu Ginobili,0,0,0,1,0,0,3,0,2,2,2,0,0,0,0,0,1,0,1,2,1,0,3,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
2030,2013-14,Kenyon Martin,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,1,0,0,0,1,0,1,0
2030,2014-15,Kenyon Martin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2034,2013-14,Mike Miller,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2034,2014-15,Mike Miller,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2034,2015-16,Mike Miller,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2034,2016-17,Mike Miller,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2037,2013-14,Jamal Crawford,2,2,0,0,1,0,1,0,1,2,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2037,2014-15,Jamal Crawford,2,1,0,0,1,0,1,0,0,2,0,0,1,0,0,0,1,0,0,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2037,2015-16,Jamal Crawford,2,0,0,2,3,0,3,1,2,3,2,0,0,0,0,0,2,0,0,2,2,0,3,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2037,2016-17,Jamal Crawford,3,0,0,1,3,0,3,0,1,2,1,0,1,0,0,0,2,0,0,2,2,0,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2037,2017-18,Jamal Crawford,4,0,0,2,3,0,2,0,1,3,1,0,1,0,1,0,2,0,0,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2037,2018-19,Jamal Crawford,2,0,0,0,2,0,2,0,0,1,1,0,0,0,1,0,2,0,0,3,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2037,2019-20,Jamal Crawford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2045,2013-14,Hedo Turkoglu,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
2045,2014-15,Hedo Turkoglu,1,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2199,2013-14,Tyson Chandler,0,0,0,0,0,3,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,3,0,2,0
2199,2014-15,Tyson Chandler,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2,0,0,0,4,0,2,0
2199,2015-16,Tyson Chandler,0,0,0,0,0,2,0,1,0,0,1,1,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,2,0
2199,2016-17,Tyson Chandler,0,0,0,0,0,3,0,1,0,1,1,1,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,2,0
2199,2017-18,Tyson Chandler,0,0,0,0,0,3,0,0,0,0,0,1,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,3,2,2,2,0
2199,2018-19,Tyson Chandler,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,2,2,2,1,0
2199,2019-20,Tyson Chandler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2200,2013-14,Pau Gasol,0,0,0,0,0,1,0,1,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0
2200,2014-15,Pau Gasol,0,0,0,1,0,0,0,1,0,0,0,0,2,0,3,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0
2200,2015-16,Pau Gasol,2,0,0,2,1,1,0,2,0,1,1,0,3,2,2,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0,0
2200,2016-17,Pau Gasol,2,0,0,2,1,0,1,2,0,2,1,0,2,2,2,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,1,0,2,0,2,2,0,0
2200,2017-18,Pau Gasol,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,3,2,0,0
2200,2018-19,Pau Gasol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,3,2,2,0,0
2202,2014-15,Jason Richardson,1,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2203,2013-14,Shane Battier,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
2207,2013-14,Joe Johnson,1,1,0,1,0,0,3,3,1,4,0,0,4,0,3,0,1,0,2,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2207,2014-15,Joe Johnson,1,0,0,0,0,0,4,2,1,3,0,0,3,0,3,0,1,0,2,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2207,2015-16,Joe Johnson,3,0,0,3,3,0,4,3,0,3,1,0,4,2,2,0,1,0,1,0,2,0,3,2,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1
2207,2016-17,Joe Johnson,2,0,0,2,2,0,3,2,1,2,2,0,3,1,0,0,1,0,0,2,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2207,2017-18,Joe Johnson,0,0,0,0,0,0,3,3,0,2,1,0,4,2,3,0,1,0,0,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2207,2021-22,Joe Johnson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2210,2013-14,Richard Jefferson,1,0,0,0,0,0,0,1,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2210,2014-15,Richard Jefferson,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2210,2015-16,Richard Jefferson,1,0,0,1,1,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2210,2016-17,Richard Jefferson,0,0,0,1,0,2,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0
2210,2017-18,Richard Jefferson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2215,2013-14,Jason Collins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2216,2013-14,Zach Randolph,0,0,0,0,0,2,0,1,0,0,0,0,1,0,4,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0
2216,2014-15,Zach Randolph,0,0,0,0,0,2,0,1,1,0,0,0,1,0,3,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,4,0,2,0
2216,2015-16,Zach Randolph,1,0,0,1,3,3,0,3,2,2,2,0,3,2,3,0,1,0,1,1,0,0,4,2,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0
2216,2016-17,Zach Randolph,0,0,0,0,1,3,1,3,1,2,2,0,3,3,3,0,1,0,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,3,0,2,2,2,0
2216,2017-18,Zach Randolph,2,0,0,2,1,3,1,3,2,3,2,0,2,2,2,0,1,0,1,0,0,0,4,2,0,1,0,0,1,0,0,0,0,0,2,3,2,2,2,0
2217,2014-15,Brendan Haywood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2222,2013-14,Gerald Wallace,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0
2222,2014-15,Gerald Wallace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2223,2013-14,Samuel Dalembert,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0
2223,2014-15,Samuel Dalembert,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0
2224,2013-14,Jamaal Tinsley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2225,2013-14,Tony Parker,1,0,1,0,1,0,2,0,4,1,0,0,1,0,0,0,2,2,3,0,2,5,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,4
2225,2014-15,Tony Parker,1,0,1,0,0,0,3,0,3,3,0,0,1,0,0,0,2,1,2,0,2,5,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4
2225,2015-16,Tony Parker,1,0,2,0,2,2,3,1,2,2,2,1,1,0,0,0,2,0,2,0,3,2,2,2,0,0,0,0,1,0,4,2,0,3,0,0,0,0,0,2
2225,2016-17,Tony Parker,0,0,2,0,1,0,2,0,2,2,1,1,0,0,0,0,2,0,1,0,2,2,2,2,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1
2225,2017-18,Tony Parker,0,0,1,0,0,0,2,0,2,1,1,1,0,0,0,0,2,0,1,1,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2225,2018-19,Tony Parker,0,0,2,0,1,0,3,0,2,2,2,1,0,0,0,0,2,0,1,1,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2229,2013-14,Mike James,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2248,2013-14,Earl Watson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2365,2013-14,Chris Andersen,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,2,0,0,0,2,0,0,0
2365,2014-15,Chris Andersen,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,2,0,0,0
2365,2015-16,Chris Andersen,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
2365,2016-17,Chris Andersen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2399,2013-14,Mike Dunleavy,1,0,0,1,0,0,0,0,2,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0
2399,2014-15,Mike Dunleavy,1,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2399,2015-16,Mike Dunleavy,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2399,2016-17,Mike Dunleavy,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2400,2013-14,Drew Gooden,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2400,2014-15,Drew Gooden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2400,2015-16,Drew Gooden,0,0,0,0,0,2,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2403,2013-14,Nene,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,0,0,1,0,0,0,0,2,0,0,1,2,0,0,3,0,1,0,0,0,2,0,1,0
2403,2014-15,Nene,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,2,0,0,0,0,0,0,0,2,0,0,1,0,0,0,3,0,0,0,0,0,2,0,1,0
2403,2015-16,Nene,0,0,0,0,0,0,0,3,1,2,2,1,2,2,3,1,0,0,0,2,0,0,2,2,0,0,1,1,0,0,1,0,0,0,2,0,1,0,0,0
2403,2016-17,Nene,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,1,1,1,2,2,0,0,0,3,0,1,2,0,0
2403,2017-18,Nene,0,0,0,0,0,2,0,1,0,1,1,1,1,2,2,2,0,0,0,1,0,0,2,1,0,0,0,0,0,1,2,0,0,0,2,2,1,2,0,0
