NBA_ID,Season,Player,RotationRole,MIN,MissingBaseCount,MissingBaseColumns
1495,2013-14,Tim Duncan,,2160.7999999999997,24,K 3PT Shot Making | L Midrange Shot Making | AI 3PT Pull Up Talent | AJ Midrange Pull Up Talent | AK Pull-Up Shooting Talent | AL Off-Ball Shot Making | AW Putback Scoring Impact Per 75 Possessions | BG Floater Talent | CY Passing Creation Quality | CZ High Value Assists Per 75 Possessions | DY Lob Passing Creation Rate | EE CONTESTED_SHOTS_3PT | EJ Pickpocket Rating | EL Stable Recovered Blocks% | FC DEFLECTIONS | FD Passing Lane Defense | FJ Off-Ball Chaser Defense | FS Perimeter Isolation Defense | GA Ball Screen Navigation | GF Post Defense | GK BOX_OUTS | GT SCREEN_ASSISTS | HD Off-Ball Gravity | HE OFFSCREEN_POSS
1495,2014-15,Tim Duncan,,2225.2999999999997,24,K 3PT Shot Making | L Midrange Shot Making | AI 3PT Pull Up Talent | AJ Midrange Pull Up Talent | AK Pull-Up Shooting Talent | AL Off-Ball Shot Making | AW Putback Scoring Impact Per 75 Possessions | BG Floater Talent | CY Passing Creation Quality | CZ High Value Assists Per 75 Possessions | DY Lob Passing Creation Rate | EE CONTESTED_SHOTS_3PT | EJ Pickpocket Rating | EL Stable Recovered Blocks% | FC DEFLECTIONS | FD Passing Lane Defense | FJ Off-Ball Chaser Defense | FS Perimeter Isolation Defense | GA Ball Screen Navigation | GF Post Defense | GK BOX_OUTS | GT SCREEN_ASSISTS | HD Off-Ball Gravity | HE OFFSCREEN_POSS
1495,2015-16,Tim Duncan,Starter,1537.2,2,EE CONTESTED_SHOTS_3PT | HE OFFSCREEN_POSS
1497,2013-14,Chauncey Billups,,309.7,25,K 3PT Shot Making | L Midrange Shot Making | AI 3PT Pull Up Talent | AJ Midrange Pull Up Talent | AK Pull-Up Shooting Talent | AL Off-Ball Shot Making | AW Putback Scoring Impact Per 75 Possessions | BF Floating_shot_FGM | BG Floater Talent | CY Passing Creation Quality | CZ High Value Assists Per 75 Possessions | DY Lob Passing Creation Rate | EE CONTESTED_SHOTS_3PT | EJ Pickpocket Rating | EL Stable Recovered Blocks% | FC DEFLECTIONS | FD Passing Lane Defense | FJ Off-Ball Chaser Defense | FS Perimeter Isolation Defense | GA Ball Screen Navigation | GF Post Defense | GK BOX_OUTS | GT SCREEN_ASSISTS | HD Off-Ball Gravity | HE OFFSCREEN_POSS
1536,2013-14,Stephen Jackson,,107.10000000000001,25,K 3PT Shot Making | L Midrange Shot Making | AI 3PT Pull Up Talent | AJ Midrange Pull Up Talent | AK Pull-Up Shooting Talent | AL Off-Ball Shot Making | AW Putback Scoring Impact Per 75 Possessions | BF Floating_shot_FGM | BG Floater Talent | CY Passing Creation Quality | CZ High Value Assists Per 75 Possessions | DY Lob Passing Creation Rate | EE CONTESTED_SHOTS_3PT | EJ Pickpocket Rating | EL Stable Recovered Blocks% | FC DEFLECTIONS | FD Passing Lane Defense | FJ Off-Ball Chaser Defense | FS Perimeter Isolation Defense | GA Ball Screen Navigation | GF Post Defense | GK BOX_OUTS | GT SCREEN_ASSISTS | HD Off-Ball Gravity | HE OFFSCREEN_POSS
1712,2013-14,Antawn Jamison,,248.60000000000002,24,K 3PT Shot Making | L Midrange Shot Making | AI 3PT Pull Up Talent | AJ Midrange Pull Up Talent | AK Pull-Up Shooting Talent | AL Off-Ball Shot Making | AW Putback Scoring Impact Per 75 Possessions | BG Floater Talent | CY Passing Creation Quality | CZ High Value Assists Per 75 Possessions | DY Lob Passing Creation Rate | EE CONTESTED_SHOTS_3PT | EJ Pickpocket Rating | EL Stable Recovered Blocks% | FC DEFLECTIONS | FD Passing Lane Defense | FJ Off-Ball Chaser Defense | FS Perimeter Isolation Defense | GA Ball Screen Navigation | GF Post Defense | GK BOX_OUTS | GT SCREEN_ASSISTS | HD Off-Ball Gravity | HE OFFSCREEN_POSS
1713,2013-14,Vince Carter,,1976.3999999999999,24,K 3PT Shot Making | L Midrange Shot Making | AI 3PT Pull Up Talent | AJ Midrange Pull Up Talent | AK Pull-Up Shooting Talent | AL Off-Ball Shot Making | AW Putback Scoring Impact Per 75 Possessions | BG Floater Talent | CY Passing Creation Quality | CZ High Value Assists Per 75 Possessions | DY Lob Passing Creation Rate | EE CONTESTED_SHOTS_3PT | EJ Pickpocket Rating | EL Stable Recovered Blocks% | FC DEFLECTIONS | FD Passing Lane Defense | FJ Off-Ball Chaser Defense | FS Perimeter Isolation Defense | GA Ball Screen Navigation | GF Post Defense | GK BOX_OUTS | GT SCREEN_ASSISTS | HD Off-Ball Gravity | HE OFFSCREEN_POSS
1713,2014-15,Vince Carter,,1089.0,24,K 3PT Shot Making | L Midrange Shot Making | AI 3PT Pull Up Talent | AJ Midrange Pull Up Talent | AK Pull-Up Shooting Talent | AL Off-Ball Shot Making | AW Putback Scoring Impact Per 75 Possessions | BG Floater Talent | CY Passing Creation Quality | CZ High Value Assists Per 75 Possessions | DY Lob Passing Creation Rate | EE CONTESTED_SHOTS_3PT | EJ Pickpocket Rating | EL Stable Recovered Blocks% | FC DEFLECTIONS | FD Passing Lane Defense | FJ Off-Ball Chaser Defense | FS Perimeter Isolation Defense | GA Ball Screen Navigation | GF Post Defense | GK BOX_OUTS | GT SCREEN_ASSISTS | HD Off-Ball Gravity | HE OFFSCREEN_POSS
1713,2015-16,Vince Carter,Rotation,1008.0,2,EE CONTESTED_SHOTS_3PT | FC DEFLECTIONS
1713,2018-19,Vince Carter,Rotation,1330.0,1,HE OFFSCREEN_POSS
1713,2019-20,Vince Carter,Rotation,876.0,1,GF Post Defense
1717,2013-14,Dirk Nowitzki,,2632.0,24,K 3PT Shot Making | L Midrange Shot Making | AI 3PT Pull Up Talent | AJ Midrange Pull Up Talent | AK Pull-Up Shooting Talent | AL Off-Ball Shot Making | AW Putback Scoring Impact Per 75 Possessions | BG Floater Talent | CY Passing Creation Quality | CZ High Value Assists Per 75 Possessions | DY Lob Passing Creation Rate | EE CONTESTED_SHOTS_3PT | EJ Pickpocket Rating | EL Stable Recovered Blocks% | FC DEFLECTIONS | FD Passing Lane Defense | FJ Off-Ball Chaser Defense | FS Perimeter Isolation Defense | GA Ball Screen Navigation | GF Post Defense | GK BOX_OUTS | GT SCREEN_ASSISTS | HD Off-Ball Gravity | HE OFFSCREEN_POSS
1717,2014-15,Dirk Nowitzki,,2279.2000000000003,24,K 3PT Shot Making | L Midrange Shot Making | AI 3PT Pull Up Talent | AJ Midrange Pull Up Talent | AK Pull-Up Shooting Talent | AL Off-Ball Shot Making | AW Putback Scoring Impact Per 75 Possessions | BG Floater Talent | CY Passing Creation Quality | CZ High Value Assists Per 75 Possessions | DY Lob Passing Creation Rate | EE CONTESTED_SHOTS_3PT | EJ Pickpocket Rating | EL Stable Recovered Blocks% | FC DEFLECTIONS | FD Passing Lane Defense | FJ Off-Ball Chaser Defense | FS Perimeter Isolation Defense | GA Ball Screen Navigation | GF Post Defense | GK BOX_OUTS | GT SCREEN_ASSISTS | HD Off-Ball Gravity | HE OFFSCREEN_POSS
1717,2017-18,Dirk Nowitzki,Key Rotation,1901.8999999999999,1,BF Floating_shot_FGM
1718,2013-14,Paul Pierce,,2100.0,25,K 3PT Shot Making | L Midrange Shot Making | AI 3PT Pull Up Talent | AJ Midrange Pull Up Talent | AK Pull-Up Shooting Talent | AL Off-Ball Shot Making | AW Putback Scoring Impact Per 75 Possessions | BF Floating_shot_FGM | BG Floater Talent | CY Passing Creation Quality | CZ High Value Assists Per 75 Possessions | DY Lob Passing Creation Rate | EE CONTESTED_SHOTS_3PT | EJ Pickpocket Rating | EL Stable Recovered Blocks% | FC DEFLECTIONS | FD Passing Lane Defense | FJ Off-Ball Chaser Defense | FS Perimeter Isolation Defense | GA Ball Screen Navigation | GF Post Defense | GK BOX_OUTS | GT SCREEN_ASSISTS | HD Off-Ball Gravity | HE OFFSCREEN_POSS
1718,2014-15,Paul Pierce,,1912.6,24,K 3PT Shot Making | L Midrange Shot Making | AI 3PT Pull Up Talent | AJ Midrange Pull Up Talent | AK Pull-Up Shooting Talent | AL Off-Ball Shot Making | AW Putback Scoring Impact Per 75 Possessions | BG Floater Talent | CY Passing Creation Quality | CZ High Value Assists Per 75 Possessions | DY Lob Passing Creation Rate | EE CONTESTED_SHOTS_3PT | EJ Pickpocket Rating | EL Stable Recovered Blocks% | FC DEFLECTIONS | FD Passing Lane Defense | FJ Off-Ball Chaser Defense | FS Perimeter Isolation Defense | GA Ball Screen Navigation | GF Post Defense | GK BOX_OUTS | GT SCREEN_ASSISTS | HD Off-Ball Gravity | HE OFFSCREEN_POSS
1718,2015-16,Paul Pierce,Rotation,1230.8000000000002,3,BF Floating_shot_FGM | EE CONTESTED_SHOTS_3PT | FC DEFLECTIONS
1718,2016-17,Paul Pierce,Garbage Time,277.5,2,BF Floating_shot_FGM | HE OFFSCREEN_POSS
1733,2013-14,Al Harrington,,510.0,25,K 3PT Shot Making | L Midrange Shot Making | AI 3PT Pull Up Talent | AJ Midrange Pull Up Talent | AK Pull-Up Shooting Talent | AL Off-Ball Shot Making | AW Putback Scoring Impact Per 75 Possessions | BF Floating_shot_FGM | BG Floater Talent | CY Passing Creation Quality | CZ High Value Assists Per 75 Possessions | DY Lob Passing Creation Rate | EE CONTESTED_SHOTS_3PT | EJ Pickpocket Rating | EL Stable Recovered Blocks% | FC DEFLECTIONS | FD Passing Lane Defense | FJ Off-Ball Chaser Defense | FS Perimeter Isolation Defense | GA Ball Screen Navigation | GF Post Defense | GK BOX_OUTS | GT SCREEN_ASSISTS | HD Off-Ball Gravity | HE OFFSCREEN_POSS
1737,2013-14,Nazr Mohammed,,560.0,24,K 3PT Shot Making | L Midrange Shot Making | AI 3PT Pull Up Talent | AJ Midrange Pull Up Talent | AK Pull-Up Shooting Talent | AL Off-Ball Shot Making | AW Putback Scoring Impact Per 75 Possessions | BG Floater Talent | CY Passing Creation Quality | CZ High Value Assists Per 75 Possessions | DY Lob Passing Creation Rate | EE CONTESTED_SHOTS_3PT | EJ Pickpocket Rating | EL Stable Recovered Blocks% | FC DEFLECTIONS | FD Passing Lane Defense | FJ Off-Ball Chaser Defense | FS Perimeter Isolation Defense | GA Ball Screen Navigation | GF Post Defense | GK BOX_OUTS | GT SCREEN_ASSISTS | HD Off-Ball Gravity | HE OFFSCREEN_POSS
1737,2014-15,Nazr Mohammed,,128.79999999999998,25,K 3PT Shot Making | L Midrange Shot Making | AI 3PT Pull Up Talent | AJ Midrange Pull Up Talent | AK Pull-Up Shooting Talent | AL Off-Ball Shot Making | AW Putback Scoring Impact Per 75 Possessions | BF Floating_shot_FGM | BG Floater Talent | CY Passing Creation Quality | CZ High Value Assists Per 75 Possessions | DY Lob Passing Creation Rate | EE CONTESTED_SHOTS_3PT | EJ Pickpocket Rating | EL Stable Recovered Blocks% | FC DEFLECTIONS | FD Passing Lane Defense | FJ Off-Ball Chaser Defense | FS Perimeter Isolation Defense | GA Ball Screen Navigation | GF Post Defense | GK BOX_OUTS | GT SCREEN_ASSISTS | HD Off-Ball Gravity | HE OFFSCREEN_POSS
1737,2015-16,Nazr Mohammed,Too Few Games,19.5,8,K 3PT Shot Making | BF Floating_shot_FGM | EE CONTESTED_SHOTS_3PT | EJ Pickpocket Rating | FC DEFLECTIONS | FD Passing Lane Defense | FJ Off-Ball Chaser Defense | HE OFFSCREEN_POSS
1740,2013-14,Rashard Lewis,,972.0,24,K 3PT Shot Making | L Midrange Shot Making | AI 3PT Pull Up Talent | AJ Midrange Pull Up Talent | AK Pull-Up Shooting Talent | AL Off-Ball Shot Making | AW Putback Scoring Impact Per 75 Possessions | BG Floater Talent | CY Passing Creation Quality | CZ High Value Assists Per 75 Possessions | DY Lob Passing Creation Rate | EE CONTESTED_SHOTS_3PT | EJ Pickpocket Rating | EL Stable Recovered Blocks% | FC DEFLECTIONS | FD Passing Lane Defense | FJ Off-Ball Chaser Defense | FS Perimeter Isolation Defense | GA Ball Screen Navigation | GF Post Defense | GK BOX_OUTS | GT SCREEN_ASSISTS | HD Off-Ball Gravity | HE OFFSCREEN_POSS
1882,2013-14,Elton Brand,,1416.1999999999998,25,K 3PT Shot Making | L Midrange Shot Making | AI 3PT Pull Up Talent | AJ Midrange Pull Up Talent | AK Pull-Up Shooting Talent | AL Off-Ball Shot Making | AW Putback Scoring Impact Per 75 Possessions | BF Floating_shot_FGM | BG Floater Talent | CY Passing Creation Quality | CZ High Value Assists Per 75 Possessions | DY Lob Passing Creation Rate | EE CONTESTED_SHOTS_3PT | EJ Pickpocket Rating | EL Stable Recovered Blocks% | FC DEFLECTIONS | FD Passing Lane Defense | FJ Off-Ball Chaser Defense | FS Perimeter Isolation Defense | GA Ball Screen Navigation | GF Post Defense | GK BOX_OUTS | GT SCREEN_ASSISTS | HD Off-Ball Gravity | HE OFFSCREEN_POSS
1882,2014-15,Elton Brand,,486.0,25,K 3PT Shot Making | L Midrange Shot Making | AI 3PT Pull Up Talent | AJ Midrange Pull Up Talent | AK Pull-Up Shooting Talent | AL Off-Ball Shot Making | AW Putback Scoring Impact Per 75 Possessions | BF Floating_shot_FGM | BG Floater Talent | CY Passing Creation Quality | CZ High Value Assists Per 75 Possessions | DY Lob Passing Creation Rate | EE CONTESTED_SHOTS_3PT | EJ Pickpocket Rating | EL Stable Recovered Blocks% | FC DEFLECTIONS | FD Passing Lane Defense | FJ Off-Ball Chaser Defense | FS Perimeter Isolation Defense | GA Ball Screen Navigation | GF Post Defense | GK BOX_OUTS | GT SCREEN_ASSISTS | HD Off-Ball Gravity | HE OFFSCREEN_POSS
1882,2015-16,Elton Brand,Garbage Time,224.39999999999998,4,BF Floating_shot_FGM | EE CONTESTED_SHOTS_3PT | FC DEFLECTIONS | HE OFFSCREEN_POSS
1889,2013-14,Andre Miller,,980.1999999999999,25,K 3PT Shot Making | L Midrange Shot Making | AI 3PT Pull Up Talent | AJ Midrange Pull Up Talent | AK Pull-Up Shooting Talent | AL Off-Ball Shot Making | AW Putback Scoring Impact Per 75 Possessions | BF Floating_shot_FGM | BG Floater Talent | CY Passing Creation Quality | CZ High Value Assists Per 75 Possessions | DY Lob Passing Creation Rate | EE CONTESTED_SHOTS_3PT | EJ Pickpocket Rating | EL Stable Recovered Blocks% | FC DEFLECTIONS | FD Passing Lane Defense | FJ Off-Ball Chaser Defense | FS Perimeter Isolation Defense | GA Ball Screen Navigation | GF Post Defense | GK BOX_OUTS | GT SCREEN_ASSISTS | HD Off-Ball Gravity | HE OFFSCREEN_POSS
1889,2014-15,Andre Miller,,1255.5,24,K 3PT Shot Making | L Midrange Shot Making | AI 3PT Pull Up Talent | AJ Midrange Pull Up Talent | AK Pull-Up Shooting Talent | AL Off-Ball Shot Making | AW Putback Scoring Impact Per 75 Possessions | BG Floater Talent | CY Passing Creation Quality | CZ High Value Assists Per 75 Possessions | DY Lob Passing Creation Rate | EE CONTESTED_SHOTS_3PT | EJ Pickpocket Rating | EL Stable Recovered Blocks% | FC DEFLECTIONS | FD Passing Lane Defense | FJ Off-Ball Chaser Defense | FS Perimeter Isolation Defense | GA Ball Screen Navigation | GF Post Defense | GK BOX_OUTS | GT SCREEN_ASSISTS | HD Off-Ball Gravity | HE OFFSCREEN_POSS
1889,2015-16,Andre Miller,Garbage Time,460.20000000000005,3,EE CONTESTED_SHOTS_3PT | FC DEFLECTIONS | HE OFFSCREEN_POSS
1890,2013-14,Shawn Marion,,2409.2,24,K 3PT Shot Making | L Midrange Shot Making | AI 3PT Pull Up Talent | AJ Midrange Pull Up Talent | AK Pull-Up Shooting Talent | AL Off-Ball Shot Making | AW Putback Scoring Impact Per 75 Possessions | BG Floater Talent | CY Passing Creation Quality | CZ High Value Assists Per 75 Possessions | DY Lob Passing Creation Rate | EE CONTESTED_SHOTS_3PT | EJ Pickpocket Rating | EL Stable Recovered Blocks% | FC DEFLECTIONS | FD Passing Lane Defense | FJ Off-Ball Chaser Defense | FS Perimeter Isolation Defense | GA Ball Screen Navigation | GF Post Defense | GK BOX_OUTS | GT SCREEN_ASSISTS | HD Off-Ball Gravity | HE OFFSCREEN_POSS
1890,2014-15,Shawn Marion,,1100.1000000000001,24,K 3PT Shot Making | L Midrange Shot Making | AI 3PT Pull Up Talent | AJ Midrange Pull Up Talent | AK Pull-Up Shooting Talent | AL Off-Ball Shot Making | AW Putback Scoring Impact Per 75 Possessions | BG Floater Talent | CY Passing Creation Quality | CZ High Value Assists Per 75 Possessions | DY Lob Passing Creation Rate | EE CONTESTED_SHOTS_3PT | EJ Pickpocket Rating | EL Stable Recovered Blocks% | FC DEFLECTIONS | FD Passing Lane Defense | FJ Off-Ball Chaser Defense | FS Perimeter Isolation Defense | GA Ball Screen Navigation | GF Post Defense | GK BOX_OUTS | GT SCREEN_ASSISTS | HD Off-Ball Gravity | HE OFFSCREEN_POSS
1891,2013-14,Jason Terry,,570.5,24,K 3PT Shot Making | L Midrange Shot Making | AI 3PT Pull Up Talent | AJ Midrange Pull Up Talent | AK Pull-Up Shooting Talent | AL Off-Ball Shot Making | AW Putback Scoring Impact Per 75 Possessions | BG Floater Talent | CY Passing Creation Quality | CZ High Value Assists Per 75 Possessions | DY Lob Passing Creation Rate | EE CONTESTED_SHOTS_3PT | EJ Pickpocket Rating | EL Stable Recovered Blocks% | FC DEFLECTIONS | FD Passing Lane Defense | FJ Off-Ball Chaser Defense | FS Perimeter Isolation Defense | GA Ball Screen Navigation | GF Post Defense | GK BOX_OUTS | GT SCREEN_ASSISTS | HD Off-Ball Gravity | HE OFFSCREEN_POSS
1891,2014-15,Jason Terry,,1640.1000000000001,24,K 3PT Shot Making | L Midrange Shot Making | AI 3PT Pull Up Talent | AJ Midrange Pull Up Talent | AK Pull-Up Shooting Talent | AL Off-Ball Shot Making | AW Putback Scoring Impact Per 75 Possessions | BG Floater Talent | CY Passing Creation Quality | CZ High Value Assists Per 75 Possessions | DY Lob Passing Creation Rate | EE CONTESTED_SHOTS_3PT | EJ Pickpocket Rating | EL Stable Recovered Blocks% | FC DEFLECTIONS | FD Passing Lane Defense | FJ Off-Ball Chaser Defense | FS Perimeter Isolation Defense | GA Ball Screen Navigation | GF Post Defense | GK BOX_OUTS | GT SCREEN_ASSISTS | HD Off-Ball Gravity | HE OFFSCREEN_POSS
1891,2015-16,Jason Terry,Rotation,1260.0,1,FC DEFLECTIONS
1897,2013-14,Metta World Peace,,388.6,25,K 3PT Shot Making | L Midrange Shot Making | AI 3PT Pull Up Talent | AJ Midrange Pull Up Talent | AK Pull-Up Shooting Talent | AL Off-Ball Shot Making | AW Putback Scoring Impact Per 75 Possessions | BF Floating_shot_FGM | BG Floater Talent | CY Passing Creation Quality | CZ High Value Assists Per 75 Possessions | DY Lob Passing Creation Rate | EE CONTESTED_SHOTS_3PT | EJ Pickpocket Rating | EL Stable Recovered Blocks% | FC DEFLECTIONS | FD Passing Lane Defense | FJ Off-Ball Chaser Defense | FS Perimeter Isolation Defense | GA Ball Screen Navigation | GF Post Defense | GK BOX_OUTS | GT SCREEN_ASSISTS | HD Off-Ball Gravity | HE OFFSCREEN_POSS
1897,2015-16,Metta World Peace,Rotation,591.5,3,EE CONTESTED_SHOTS_3PT | FC DEFLECTIONS | HE OFFSCREEN_POSS
1897,2016-17,Metta World Peace,Garbage Time,160.0,2,BF Floating_shot_FGM | HE OFFSCREEN_POSS
1905,2013-14,Andrei Kirilenko,,859.5000000000001,25,K 3PT Shot Making | L Midrange Shot Making | AI 3PT Pull Up Talent | AJ Midrange Pull Up Talent | AK Pull-Up Shooting Talent | AL Off-Ball Shot Making | AW Putback Scoring Impact Per 75 Possessions | BF Floating_shot_FGM | BG Floater Talent | CY Passing Creation Quality | CZ High Value Assists Per 75 Possessions | DY Lob Passing Creation Rate | EE CONTESTED_SHOTS_3PT | EJ Pickpocket Rating | EL Stable Recovered Blocks% | FC DEFLECTIONS | FD Passing Lane Defense | FJ Off-Ball Chaser Defense | FS Perimeter Isolation Defense | GA Ball Screen Navigation | GF Post Defense | GK BOX_OUTS | GT SCREEN_ASSISTS | HD Off-Ball Gravity | HE OFFSCREEN_POSS
1905,2014-15,Andrei Kirilenko,,36.4,25,K 3PT Shot Making | L Midrange Shot Making | AI 3PT Pull Up Talent | AJ Midrange Pull Up Talent | AK Pull-Up Shooting Talent | AL Off-Ball Shot Making | AW Putback Scoring Impact Per 75 Possessions | BF Floating_shot_FGM | BG Floater Talent | CY Passing Creation Quality | CZ High Value Assists Per 75 Possessions | DY Lob Passing Creation Rate | EE CONTESTED_SHOTS_3PT | EJ Pickpocket Rating | EL Stable Recovered Blocks% | FC DEFLECTIONS | FD Passing Lane Defense | FJ Off-Ball Chaser Defense | FS Perimeter Isolation Defense | GA Ball Screen Navigation | GF Post Defense | GK BOX_OUTS | GT SCREEN_ASSISTS | HD Off-Ball Gravity | HE OFFSCREEN_POSS
